"filename", "language", "JSON with Comments", "TypeScript", "JSON", "CSS", "TypeScript JSX", "Markdown", "XML", "HTML", "YAML", "JavaScript", "comment", "blank", "total"
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\features\images\generateTableImage.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 63
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\features\tables\generateRandomMatrix.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 29, 11, 92
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\index.css", "CSS", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 17, 51
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\store\features.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\store\figures.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\store\images.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 32
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\store\modes.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\store\tables.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 61
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\store\tools.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\store\types.d.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\tsconfig.json", "JSON with Comments", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 33
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\tsconfig.node.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\vite.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 31, 575, 51, 110, 1996, 46, 2, 18, 3472, 18, 246, 762, 7327
